# TStellate_CT1 Optimisation
# Monday 5 November  22:42:01 EST 2012
 
#param.w.x[lsr][ts] = 0.0033	[1e-07,0.3]
#param.w.x[hsr][ts] = 0.0028039	[1e-07,0.3]
#param.w.x[ds][ts] = 0.000122	[1e-07,0.3]
#param.w.x[tv][ts] = 0.000178	[1e-07,0.3]
#param.w.x[glg][ts] = 0.00016	[1e-07,0.3]
#param.ts_gleak = 0.000473539	[5e-05,0.005]
#param.ts_erev = -62.9	[0.03,0.08]
# final error=14.550335
# Time	Error Vec	 Reference Vec (mV)
35.70	-49.806264	-59.005978
35.80	-49.927637	-58.821447
35.90	-50.049009	-58.452143
36.00	-50.170381	-58.296275
36.10	-50.264353	-58.019329
36.20	-49.873605	-57.625959
36.30	-49.482856	-57.147516
36.40	-49.092108	-56.635738
36.50	-49.353789	-56.102559
36.60	-50.027404	-55.543296
36.70	-50.225897	-54.967639
36.80	-50.131791	-54.386070
36.90	-50.037686	-53.778554
37.00	-49.943581	-53.109764
37.10	-49.849475	-52.306932
37.20	-49.755370	-51.220788
37.30	-49.661265	-50.206667
37.40	-49.567159	-49.212917
37.50	-49.473054	-48.363236
37.60	-49.378949	-46.797554
37.70	-49.284843	-45.554387
37.80	-49.190738	-44.297622
37.90	-49.096633	-44.302945
38.00	-49.002527	-44.074857
38.10	-49.062441	-44.094993
38.20	-49.466642	-44.213633
38.30	-49.870842	-44.445105
38.40	-50.275042	-45.843089
38.50	-50.382254	-46.538325
38.60	-50.161682	-47.433360
38.70	-49.941109	-48.252057
38.80	-49.720537	-49.354182
38.90	-49.499965	-50.541112
39.00	-49.279393	-51.074720
39.10	-49.058821	-51.294791
39.20	-48.931582	-51.268392
39.30	-48.923215	-51.403980
39.40	-48.914849	-51.494846
39.50	-48.906482	-51.190947
39.60	-48.898116	-51.115457
39.70	-48.889749	-51.289831
39.80	-48.881383	-51.943806
39.90	-48.873016	-52.773033
40.00	-48.864649	-53.490553
40.10	-48.856283	-53.787396
40.20	-48.847916	-53.807149
40.30	-48.839550	-53.305443
40.40	-48.831183	-52.555211
40.50	-50.015700	-51.799767
40.60	-49.749462	-51.207791
40.70	-49.483224	-50.949402
40.80	-49.216985	-50.631433
40.90	-48.950747	-50.382659
41.00	-48.684509	-50.141157
41.10	-48.418271	-50.436281
41.20	-48.269616	-50.846898
41.30	-48.200299	-51.268462
41.40	-48.130982	-51.312737
41.50	-48.061666	-50.996182
41.60	-47.992349	-50.385240
41.70	-47.923032	-49.082337
41.80	-47.853716	-47.405930
41.90	-47.784399	-46.535189
42.00	-47.715082	-45.802837
42.10	-49.088190	-46.863873
42.20	-49.214158	-47.720812
42.30	-49.340126	-48.938402
42.40	-49.466095	-49.880340
42.50	-49.592063	-50.565402
42.60	-49.718031	-51.154762
42.70	-49.843999	-51.170860
42.80	-49.946219	-51.381672
42.90	-49.725647	-51.347398
43.00	-49.505075	-51.554376
43.10	-49.284503	-51.543523
43.20	-49.063931	-51.161778
43.30	-48.843358	-50.993966
43.40	-48.622786	-49.988572
43.50	-48.395550	-49.535663
43.60	-47.973036	-49.425345
43.70	-47.550522	-49.843962
43.80	-47.128009	-50.837386
43.90	-47.560837	-51.617430
44.00	-48.548577	-52.060543
44.10	-49.445944	-52.220148
44.20	-50.257898	-51.987565
44.30	-50.708791	-51.756158
44.40	-50.765201	-51.583963
44.50	-50.821611	-51.942434
44.60	-50.878021	-52.164591
44.70	-50.934432	-52.197513
44.80	-50.990821	-51.635035
44.90	-51.028456	-50.995361
45.00	-51.066091	-50.716497
45.10	-51.103726	-50.634695
45.20	-51.141361	-50.797034
45.30	-51.178996	-50.360663
45.40	-51.152777	-50.365519
45.50	-51.071816	-50.633595
45.60	-50.990855	-51.316521
45.70	-50.909893	-51.681173
45.80	-50.828932	-51.629718
45.90	-50.747971	-51.320249
46.00	-50.667009	-51.093823
46.10	-50.586048	-50.933371
46.20	-50.505087	-50.554973
46.30	-50.132101	-50.392148
46.40	-49.546774	-49.892434
46.50	-48.961446	-49.857567
46.60	-48.596507	-49.732713
46.70	-49.000708	-49.876871
46.80	-49.404908	-49.426593
46.90	-49.809108	-48.329574
47.00	-50.082385	-46.833706
47.10	-50.150015	-46.553380
47.20	-50.217644	-46.580874
47.30	-50.285273	-48.301344
47.40	-50.352903	-49.542350
47.50	-50.420532	-50.641945
47.60	-50.488161	-51.174175
47.70	-50.555790	-51.156690
47.80	-50.623420	-51.247073
47.90	-50.674292	-51.602263
48.00	-50.674086	-51.853199
48.10	-50.673879	-51.658936
48.20	-50.673672	-51.300542
48.30	-50.673466	-51.132447
48.40	-50.673259	-51.194604
48.50	-50.673052	-51.196021
48.60	-50.672845	-50.630983
48.70	-50.672639	-50.217667
48.80	-50.672432	-49.577311
48.90	-50.672225	-49.034691
